Crash_Ref_Number,Crash_Severity,Crash_Year,Crash_Month,Crash_Day_Of_Week,Crash_Hour,Crash_Nature,Crash_Type,Crash_Longitude,Crash_Latitude,Crash_Street,Crash_Street_Intersecting,State_Road_Name,Loc_Suburb,Loc_Local_Government_Area,Loc_Post_Code,Loc_Police_Division,Loc_Police_District,Loc_Police_Region,Loc_Queensland_Transport_Region,Loc_Main_Roads_Region,Loc_ABS_Statistical_Area_2,Loc_ABS_Statistical_Area_3,Loc_ABS_Statistical_Area_4,Loc_ABS_Remoteness,Loc_State_Electorate,Loc_Federal_Electorate,Crash_Controlling_Authority,Crash_Roadway_Feature,Crash_Traffic_Control,Crash_Speed_Limit,Crash_Road_Surface_Condition,Crash_Atmospheric_Condition,Crash_Lighting_Condition,Crash_Road_Horiz_Align,Crash_Road_Vert_Align,Crash_DCA_Code,Crash_DCA_Description,Crash_DCA_Group_Description,DCA_Key_Approach_Dir,Count_Casualty_Fatality,Count_Casualty_Hospitalised,Count_Casualty_MedicallyTreated,Count_Casualty_MinorInjury,Count_Casualty_Total,Count_Unit_Car,Count_Unit_Motorcycle_Moped,Count_Unit_Truck,Count_Unit_Bus,Count_Unit_Bicycle,Count_Unit_Pedestrian,Count_Unit_Other
1,Property damage only,2007,August,Wednesday,13,Angle,Multi-Vehicle,146.7260253,-19.313847,Carthew St,,,Thuringowa Central,Townsville City,4817,Kirwan,Townsville,Northern,Northern,North Queensland,Kirwan - West,Townsville,Townsville,Outer Regional,Thuringowa,Herbert,Locally-controlled,No Roadway Feature,No traffic control,0 - 50 km/h,Sealed - Wet,Raining,Daylight,Straight,Level,308,Vehs Same Direction: Right Turn S/Swipe,06: Parallel Lanes Turning,W,0,0,0,0,0,2,0,0,0,0,0,0
2,Medical treatment,2007,December,Wednesday,8,Overturned,Single Vehicle,152.9764055,-26.895647,Link Rd,,,Glass House Mountains,Sunshine Coast Region,4518,Beerwah,Sunshine Coast,North Coast,SEQ North,North Coast,Glass House Mountains,Sunshine Coast Hinterland,Sunshine Coast,Inner Regional,Glass House,Fisher,Locally-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Unsealed - Dry,Clear,Daylight,Straight,Level,705,Off Path-Straight: Out Of Control On Cway,17: Out of Control on Straight,S,0,0,1,0,1,1,0,0,0,0,0,0
3,Property damage only,2008,August,Wednesday,14,Overturned,Single Vehicle,152.6500333,-27.88483049,Kengoon Rd,,,Munbilla,Scenic Rim Region,4309,Kalbar,Ipswich,Southern,SEQ South,South Coast,Boonah,Ipswich Hinterland,Ipswich,Inner Regional,Scenic Rim,Wright,Locally-controlled,No Roadway Feature,No traffic control,80 - 90 km/h,Unsealed - Dry,Clear,Daylight,Straight,Crest,702,Off Path-Straight: Right Off Cway,15: Off Carriageway on Straight,W,0,0,0,0,0,1,0,0,0,0,0,0
4,Property damage only,2007,May,Tuesday,20,Hit object,Single Vehicle,152.8851877,-27.63394249,Jones Rd,,,Bellbird Park,Ipswich City,4300,Goodna,Ipswich,Southern,SEQ South,Metropolitan,Bellbird Park - Brookwater,Springfield - Redbank,Ipswich,Major Cities,Bundamba,Oxley,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Darkness - Lighted,Curved - view obscured,Level,804,Off Path-Curve: Off Cway Lt Bend Hit Obj,19: Off Carriageway on Curve Hit Object,S,0,0,0,0,0,1,0,0,0,0,0,0
5,Medical treatment,2007,July,Sunday,21,Overturned,Single Vehicle,152.8382345,-27.59574748,Cunningham Hwy,,Cunningham Highway (Ipswich - Warwick),Riverview,Ipswich City,4303,Goodna,Ipswich,Southern,SEQ South,Metropolitan,Bundamba,Ipswich Inner,Ipswich,Major Cities,Bundamba,Blair,State-controlled,No Roadway Feature,No traffic control,80 - 90 km/h,Sealed - Dry,Clear,Darkness - Lighted,Straight,Grade,705,Off Path-Straight: Out Of Control On Cway,17: Out of Control on Straight,N,0,0,1,0,1,1,0,0,0,0,0,0
6,Property damage only,2007,September,Friday,14,Angle,Multi-Vehicle,152.3697637,-24.85582871,Alexandra St,Whittred St,,Bundaberg East,Bundaberg Region,4670,Bundaberg,Wide Bay Burnett,North Coast,Southern,Southern Queensland,Bundaberg East - Kalkie,Bundaberg,Wide Bay,Inner Regional,Bundaberg,Hinkler,Locally-controlled,Intersection - Cross,Stop sign,0 - 50 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,101,Vehs Adjacent Approach: Thru-Thru,01: Intersection: Adjacent Approach,E,0,0,0,0,0,2,0,0,0,0,0,0
7,Property damage only,2008,June,Saturday,19,Hit parked vehicle,Single Vehicle,151.6045614,-25.6240856,Fielding St,,,Gayndah,North Burnett Region,4625,Gayndah,Wide Bay Burnett,North Coast,Southern,Southern Queensland,Gayndah - Mundubbera,Burnett,Wide Bay,Outer Regional,Callide,Flynn,Locally-controlled,No Roadway Feature,No traffic control,0 - 50 km/h,Sealed - Dry,Clear,Darkness - Not lighted,Straight,Level,200,Vehs Opposite Approach: Other,21: Other,S,0,0,0,0,0,2,0,0,0,0,0,0
8,Medical treatment,2007,July,Friday,9,Rear-end,Multi-Vehicle,153.0470809,-27.31383897,Gateway Arterial Rd,,Gateway Arterial Road (Gateway Motorway - North),Sandgate,Brisbane City,4017,Sandgate,North Brisbane,Brisbane,SEQ North,Metropolitan,Bracken Ridge,Sandgate,Brisbane - North,Major Cities,Sandgate,Petrie,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Curved - view open,Level,307,Vehs Same Direction: Lane Change Left,05: Lane Change,W,0,0,5,0,5,1,0,1,0,0,0,0
9,Hospitalisation,2008,March,Tuesday,13,Angle,Multi-Vehicle,150.4961491,-23.37967082,Canning St,,,The Range,Rockhampton Region,4700,Rockhampton,Capricornia,Central,Central,Central Queensland,The Range - Allenstown,Rockhampton,Central Queensland,Inner Regional,Rockhampton,Capricornia,Locally-controlled,No Roadway Feature,No traffic control,0 - 50 km/h,Sealed - Dry,Clear,Daylight,Straight,Grade,406,Vehs Manoeuvring: Leaving Driveway,08: Vehicle Leaving Driveway,S,0,2,0,0,2,2,0,0,0,0,0,0
10,Property damage only,2008,April,Tuesday,13,Angle,Multi-Vehicle,151.9327638,-27.56608073,James St,,Toowoomba Connection Road,Newtown,Toowoomba Region,4350,Toowoomba,Darling Downs,Southern,Southern,Southern Queensland,Newtown (qld),Toowoomba,Toowoomba,Inner Regional,Toowoomba North,Groom,State-controlled,Median Opening,Operating traffic lights,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,207,Vehs Opposite Approach: U-Turn,07: U-turn,E,0,0,0,0,0,2,0,0,0,0,0,0
